name,common,area,stock,sex,a,b,lmax,linf,l50,a50,t0,k,source a,source b,Lmax,source Linf,source L50,source A50,source t0,source K,Comment
Clupea harengus,Herring,Celtic Seas,her-nis,F,0.0048,3.198,,33,23,,,0.606,Silva et al 2013,Silva et al 2013,,Thorpe etal 2015,Thorpe etal 2015,,,Thorpe etal 2015,
Pollachius pollachius,Pollack,North Sea,pol-nsea,C,0.0076,3.069,,85.6,47.1,,,0.19,Silva et al 2013,Silva et al 2013,,Pauley 1978,Alonso-Fernandez et al 2013,,,Pauley 1978,L50 from Galicia
Molva molva,Ling,Widely,lin-comb,C,0.0036,3.108,,119,74,7.2,,0.14,Silva et al 2013,Silva et al 2013,,Magnussen 2007,Magnussen 2007,,,Magnussen 2007,
Sebastes norvegicus,Rose fish,Northern,smn-con,C,0.0178,2.972,,50.2,40.3,,0.08,0.11,Silva et al 2013,Silva et al 2013,,Nedreaas 1990,Ni & Templeman 1985,,Nedreaas 1990,Nedreaas 1990,
Mullus surmuletus,Red mullet,Celtic Seas,mut-comb,F,0.0057,3.243,,47.5,16.9,,,0.21,Mahe et al 2013,Mahe et al 2013,,Mahe et al 2013,Mahe et al 2013,,,Mahe et al 2013,S North Sea and Channel data
Scopthalmus maximus,Turbot,North Sea,tur-nsea,F,0.0149,3.079,,66.7,34.2,2.2,0.29,0.32,Silva et al 2013,Silva et al 2013,,Van der Hammen et al 2013,Van der Hammen et al 2013,Van der Hammen et al 2013,Van der Hammen et al 2013,Van der Hammen et al 2013,
Microstomus kitt,Lemon sole,North Sea,lem-nsea,C,0.0123,2.971,,37,27,,,0.42,Thorpe etal 2015,Thorpe etal 2015,,Thorpe etal 2015,Thorpe etal 2015,,,Thorpe etal 2015,
Lepidorhombus whiffiagonis,Megrim,North Sea,meg-4a6a,C,0.0022,3.3433,,54,23,3,,0.12,Silva et al 2013,Silva et al 2013,,Jennings et al 1999,Jennings et al 1999,Jennings et al 1999,,Jennings et al 1999,
Ammodytes spp.,Sandeels,North Sea,san-ns4,C,0.0049,2.783,,24,12,,,1,Thorpe etal 2015,Thorpe etal 2015,,Thorpe etal 2015,Thorpe etal 2015,,,Thorpe etal 2015,
Pleuronectes platessa,Plaice,Celtic Seas,ple-celt,F,0.011,2.958,,48,22.9,,,0.23,Silva et al 2013,Silva et al 2013,,van Walraven et al 2010,van Walraven et al 2010,,,van Walraven et al 2010,North Sea data
Merlangius merlangus,Whiting,Celtic Seas,whg-7e-k,F,0.0103,2.395,,38,28,,-1.01,0.38,Hehir 2003,Hehir 2003,,Hehir 2003,Hehir 2003,,Hehir 2003,Hehir 2003,
Melanogrammus aeglefinus,Haddock,Celtic Seas,had-iris,C,0.0113,2.96,,79.9,,2,-0.36,0.2,Silva et al 2013,Silva et al 2013,,"WGNSDS2007, VIIa",,"WGNSDS2007, VIIa","WGNSDS2007, VIIa","WGNSDS2007, VIIa",Irish Sea data
Lophius piscatorius,White anglerfish,Celtic Seas,ang-78ab,C,0.0198,2.895,133.1,105.555,73,,-0.38,0.18,Crozier1989,Crozier1989,Crozier1989,Crozier1989,Alfonso-Diaz and Hislop 2006,,Crozier1989,Crozier1989,L50 Scotland data
Lophius piscatorius,White anglerfish,North Sea,ang-ivvi,C,0.0297,2.841,,106,61,,,0.18,Thorpe etal 2015,Thorpe etal 2015,,Thorpe etal 2015,Thorpe etal 2015,,,Thorpe etal 2015,
Nephrops,Shellfish,Biscay-Iberia,nep-2829,M,0.00028,3.229,,70,28.4,,,0.2,WKLIFE_V_2015,WKLIFE_V_2015,,WKLIFE_V_2015,WKLIFE_V_2015,,,WKLIFE_V_2015,NB values in mm
Scyliorhinus canicula,Lesserspotted dogfish,Celtic Seas,syc27.67,F,0.0019,3.1541,70,75.14,57,7.9,-0.96,0.15,Silva et al 2013,Silva et al 2013,Ivory et al 2005,Ivory et al 2005,Ivory et al 2005,Ivory et al 2005,Ivory et al 2005,Ivory et al 2005,
Scyliorhinus canicula,Lesserspotted dogfish,Biscay-Iberia,syc27.8c,F,0.0022,3.119,68,66.2,59.1,,-0.71,0.23,Silva et al 2013,Silva et al 2013,Rodriguez-Cabello 2005,Rodriguez-Cabello 2005,Rodriguez-Cabello 1998,,Rodriguez-Cabello 2005,Rodriguez-Cabello 2005,
